review,sentimiento
"Focalizar.(Del ingl. to focalize).2. tr. Centrar, concentrar, dirigir. U. t. c. prnl.Salgo del cine perplejo. No entiendo como se puede intentar hablar de tantas cosas para acabar hablando prácticamente de nada. Y menos cuando el guión está firmado por Amenábar y Gil, dos personas que no son precisamente nuevos en esto de la narrativa audiovisual.Por un lado tenemos la historia de Hipatia, una astrónoma que está como las maracas de machín, obsesionada con dar con los secretos del universo. A pesar de que en el trailer parece que la historia va sobre dicho personaje, esto no es del todo correcto. También tenemos  a la recién legalizada cristiandad intentando hacerse con el control de toda Alejandría al más puro estilo Monty Phyton, tirando piedras a judíos y paganos a diestro y siniestro.Estas dos historias se entrecruzan entre sí durante todo el metraje, y en situaciones de una intensidad profunda. Pero la emoción no llega, por mucho que uno quiere no llega. Y es que lo que se ha hecho es únicamente contar un pasaje de la historia antigua, sin más. Sin unos personajes más definidos que nos demuestren con veracidad que son humanos, con las emociones que ser de esta especie implica.Me parece que el mayor fallo ha radicado en la dirección de actores ya que todos (exceptuando a la Weisz, preciosa como siempre) pecan de exageración en sus interpretaciones. Y esto hace que no me crea una palabra de lo que me cuentan, a pesar de que, paradójicamente, está basada en hechos reales.Salgo helado de la sala, una pena…",negativo
"Fui al cine con mi hijo y su primo de 11 años receloso. La calificación era para todas las edades pero, no pocas veces, tal calificación es altamente laxa y la película (más las españolas) suelen ser ""mal habladas"" y con recurrentes referencias sexuales no aptas, según mi criterio de padre, para niños menores de 12 años. Pues me llevé una grata sorpresa y durante todo el metraje el humor fue de lo más ""blanco"". Lo importante, pues que los dos peques se desternillaron con las ocurrencias de Leo Harlem y yo con todos ellos. El film no pretende más ... una buena comedia de verano para pasar un rato estupendo y de la que no te arrepentirás haber pagado por ella.",positivo
"Al igual que la primera, se deja ver con sencillez, genera sonrisas y alguna que otra risotada más sonora. Trata de una forma más atrevida los cambios en los roles sexuales de nuestra sociedad. Sin embargo, la película pierde mucho por la redundancia de chistes y situaciones que ya vimos en la primera parte, por las actuaciones femeninas, que resultan excesivamente rígidas y con pocos matices, y por la ausencia de un hilo conductor claro. En resumen, la peli cuenta con un material más jugoso y atrevido que la primera, y sin embargo la puesta en escena y el propio guión, la convierten en un producto mucho menos gracioso y de menor calidad.",negativo
"El deseo de encontrar películas españolas de calidad que sean indudables obras maestras es tan grande en el público y la crítica españolas que enseguida se encumbra cualquiera que tenga ciertos atisbos de. En La isla mínima tenemos muchas cosas buenas pero también algunas malas que me impiden subirle la nota como me gustaría. Destaco el trabajo de los actores, en especial el de un inmenso Javier Gutiérrez. Su interpretación es de las que hace que la película merezca la pena. En el resto del reparto todos están perfectos no hay ninguno que desentone o sobreactúe. Del primero al último resultan totalmente creíbles y convincentes. La historia está muy bien ambientada. Se desarrolla a comienzos de los ochenta en las espectaculares marismas andaluzas. Destaco también la fotografía que capta en todo su esplendor la belleza del vistoso paisaje.En la trama no cobra tanta importancia quién es el asesino sino cómo se desarrolla la investigación y el carácter de los dos policías ideológicamente enfrentados. Ambos tienen que investigar la desaparición de dos jóvenes. Cuando las encuentran muertas empezará la caza del cruel asesino. Los personajes principales resultan sólidos pero la intriga se me hace a ratos lenta y pesada. El final es decepcionante. (spolier)",positivo
"No se puede hacer una película con mayor mediocridad y con peores estereotipos que esta. Si la primera era una alabanza a la violencia, ésta es un insulto a la inteligencia.Mario Casas sigue en ese papel muy plano y simple de chulo violento pero con sentimientos que no cuadra a nadie. Tiene serios problemas de dicción y su rostro transmite poco o nada. María Valverde sale poco, pero es la misma niña ñoña de siempre, con poco que aportar y pocas ganas de estar allí.Y así llegamos a Clara Lago, la actriz mimada del cine español actual. Su papel es el de siempre. No tiene ningún registro. Es la chulapa de siempre en cada escena, en cada película. Con aire de niña pija cortante que tira para atrás. En esta no iba a ser menos. Además es un papel indefinido entre poligonera, azafata de programa y candidata de La Voz. La película en sí es un espanto de proporciones titánicas, un canto a la violencia, la irresponsabilidad, los clichés y la gandulería más atroz. El problema es que se muestra como reflejo de la juventud de veintipocos...Menos mal, que nuestra juventud en esas edades no es así en su gran mayoría.",negativo
"Un viaje alucinante por 2 mundos paralelos. Una película como se ven pocas en nuestros días. Una fotografía estupenda acompañada de unos efectos especiales dignos de lo mejor de Hollywood. Las interpretaciones soberbias y excelentes a resaltar la magnifica Ivana Baquero y al terrorífico Sergi López. Y para algún facha que no soporta ni asumen su pasado, lo siento pero les quedan el consuelo de puntuar mal esta magnifica película, otra manera de dañar al prójimo…¡y como no!100% recomendable.",positivo
"Cuando era pequeña (sí, alguna vez lo fui), era muy muy miedosa. Imaginaba, acostada en la cama, que por mi ventana podrían entrar los espíritus, y por el espejo de la puerta del armario aparería un lobo (esto sobre todo después de ver ""lobo"" de Nicolson), pero lo que más miedo me daba era bajar los pies de la cama, e imaginar que una mano saldría de abajo y me agarraría, entonces yo, caería al suelo sin remedio, muerta de miedo, claro está. La solución más práctica era ir corriendo a la cama de mamá: - Mami, ¿puedo dormir contigo?. Mi madre casi sin inmutarse emitía un ""mmmppsssiiii"", yo me metía en la cama, lo más cerca de ella que podía y a dormir como un angelito.  Nunca fui consciente de lo que para mi madre, cansada después del trabajo, suponían las noches en vela, causadas por mi paranoia infantil, cuando no eran por mi fiebre, o simplemente mis caprichos. Y así, un día lluvioso de noviembre, pasados ya unos cuantos añitos mas (y uno poco mas), llegué al cine, y me senté delante del papel de la pared del orfanato. Y nunca, nunca había dejado una película, en mi todavía corta carrera como espectadora, tan claro el amor incondicional, loco e infinito de una madre a su hijo. Amor que traspasa la pantalla, te pega una puñalada en el pecho y al fin, te hace llorar, te arranca una primera lágrima sincera seguida de sus compañeras, que por caridad la acompañan detrás.Y así, llegué a casi tocar con la punta de mis dedos, lo que cercanamente podía sentir mi madre aquellas noches de candelabro en mano.¡¡MAMA TE QUIERO!!",positivo
"Tardé mucho en ver esta película, hasta que no me la regalaron en DVD. La película se estrenó en 2004, y aún recuerdo la que se montó, con prácticamente el 90% de crítica y público celebrándolo como un peliculón de los que hacen época. El circo prosiguió en USA, hasta ganar, como todos sabemos, el Oscar. El argumento no hace falta que lo explique, ya todos lo sabemos. Pues bien, por fin vi el filme. No sé si cuenta tanto que te predispongan de una manera determinada para ver una película. Un director alemán famoso, pero cuyo nombre ahora no recuerdo, dijo una vez que habría que ver las películas, y luego leer opiniones y contrastar críticas. Llegar virgen al visionado, vamos. Es bastante complicado, sobre todo para los que estamos ávidos de nuevas películas, y queremos saber qué opinan los ""expertos"". Bueno, pues tantas alabanzas y tal fue la excelencia que me prometieron con esta película, que me acabó decepcionando. La historia de Ramón Sampedro, con todos sus matices y complejidades, merecía mucha sutileza y maestría, para no caer en cierta brocha gorda y lugares comunes. Y, tras haber visto dos veces la película ya, Amenábar no lo consigue. O al menos, son las sensaciones que me provoca. Digamos que la película, lentamente, va de más a menos. Empieza bien, mostrando la rutina diaria de Sampedro, con todas las limitaciones físicas, pero con toda la agudeza y campechanía de su personalidad. Pero a medida que observamos los conflictos que va teniendo con los que le rodean (Julia, su sobrino, con los abogados, con su padre) el guión va cayendo en lugares más comunes, y termina por seguir un rumbo que busca más forzadamente la empatía con el espectador y con el personaje de Sampedro. Hay buenas secuencias (el flashback de su juventud y su accidente), pero otras sobran completamente. Por ejemplo, la secuencia con el sacerdote y su ayudante, que pretende ser una crítica al anquilosamiento de la Iglesia en el tema de la eutanasia. Lástima que Amenábar use el humor y la famosa brocha gorda en un aspecto delicado y controvertido de la película, que exige más sutilidad y matizaciones. Dicho de otro modo, que Clint Eastwood hubiera hecho esa escena de otro modo.",positivo
"Yo no sé si estoy loco o simplemente soy cruel, pero ver a los turistas sufriendo me da la risa. Esto que dicen es un drama, no hace más que ocasionarme hilaridad. Aún entendiendo que ese episodio histórico fue algo horroroso que por nada del mundo me habría gustado vivir, estas pelis donde ""se muestra lo mejor del ser humano"" me parecen ridículas, falsas y manipuladoras. Es una bobada de película.",negativo
La maldad del ser humano siempre supera a la de cualquier monstruo que podamos imaginar. Sencillamente genial.,positivo
"Excelente film patrio. Si no le pongo un 9 es porque el final siempre me ha parecido un pelín caótico y poco claro. Sin duda sus aciertos son muchos más que sus defectos. Los actores están todos a un nivel altísimo. Es un gozo ver trabajar de esta forma a nuestros actores, que no deben envidiar en absoluto a cualquier escuela foránea de interpretación. El guión es muy ajustado y da vida perfectamente a la vida en Andalucía en el post-franquismo con Franco más vivo que muerto. La escena en que Gutiérrez va en busca del cacique para tocarle las manos y olerlo, ya me entendéis, es prodigiosa; pero la cara del actor, que no deja de mostrar un cierta admiración por el cacique, siendo él alguien a su servicio en el fondo, es decir, siendo él algo más, o bastante más, que los paletos del pueblo, peones del campo, es una maravilla. ""Soy policía"" le dice... Arévalo tiene un papel menos lucido, pero está fantástico. Luego la crueldad atávica sobre la mujer (siempre hay alguien inferior a uno y para eso están las mujeres), en fin...  Un prodigio de película, sin duda. La peli española que más me ha gustado desde ""La vida mancha"".",positivo
